,Unnamed: 0,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score,Will_vote_only_large_party_int,Most_Important_Issue_Environment,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Healthcare,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military
0,0,-0.7626076649318981,-0.9632339832177526,0.4840155214913059,0.45445156879792925,1.0308978750932674,1.3695193931120526,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.28144925058154724,2.1923307016187743,1.946542027364735,0.3273351643596804,-0.7807055766938615,-0.041024001702619536,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-0.5614129784001219,-1.331549550456034,0.04564772116825611,0.8188639241543969,2.1178599461655447,1.2111198548881883,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,3,-0.9423863149113856,0.499986061387813,0.09206709003346752,-1.0274180263174477,1.3932185654506932,-0.32480509674113106,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4,2.4726809555651985,0.4218172564267458,-1.6015564371752244,0.9605279804877193,-0.4183848863364358,2.0403761156547455,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-0.954995997772336,0.7900855243839364,-0.46634994673790237,-0.547063682886325,-0.05606419597900998,-0.5173012179414236,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-0.4335100457489335,-0.8105926340497823,-0.6166488776199518,0.5298064245453984,-1.505346957408713,-0.8037654213497466,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,7,3.5703071637242605,1.0020212495337841,0.5361018971298779,-1.4315634063788205,0.6685771847358416,0.23811615820407023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-0.5166562470131831,-0.0619435110731609,-1.1881608431773139,0.17590218118041132,1.0308978750932674,-0.29003632901383664,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,9,1.7385722220719295,0.6040932756076757,1.4085033375920604,-0.2780328061583535,0.6685771847358416,-1.1510571952695132,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,10,-0.8592695542811761,0.054992672967972576,0.13094564174748702,-0.8963911456086994,1.7555392558081189,0.28178147721745356,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,11,0.06728448476719798,0.491800945478493,0.24356326403096834,-1.229467084558736,-0.05606419597900998,-0.14474096707064213,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,-1.024575883119172,-0.7935733939354749,-0.6256181408646524,0.48040835162398915,-0.7807055766938615,-0.7060525238684769,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,-0.33496707616332283,-0.5706356911362345,-0.9803772068976643,0.36943668420372644,-1.505346957408713,0.7205664718521627,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14,-0.24502651670118145,0.4302552530336538,-0.08698791480243877,-0.9957083630267726,-1.867667647766139,-0.08103034267539741,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,15,2.592711688504318,2.688601114457714,-2.4214401114782764,1.9362112849460826,0.6685771847358416,1.0660435885074309,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,16,-0.18429563251891953,2.380405435995565,2.325600504097219,0.7042654824563623,-1.505346957408713,0.3886127097742071,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.7467186636117379,2.250040914175295,1.8095579433856332,0.33206184142049694,-1.1430262670512874,-0.1747108057803273,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,18,-0.26284412879418206,-0.6166692057107052,0.32878230205464243,0.241738763859598,0.6685771847358416,1.5442706119534768,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,19,-0.6460891293173335,0.6220161566267088,-0.1936431775227966,-0.9691670220601889,-1.505346957408713,-0.07206333479335333,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.6435868455401742,0.42953437445218695,-0.4339019900530574,-0.3708975367890153,-0.7807055766938615,-0.7846410441367981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,21,-1.0028629689924762,0.6848718845362628,0.3946426445465094,-1.4741734386002139,-1.1430262670512874,-0.016997696502736005,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,22,-1.0660950897494508,-0.6902451127777056,-0.4406146804381093,0.2938793612005883,-0.7807055766938615,1.0902483260380935,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,-0.8884377086916712,-0.592859408476538,-0.5357438446421683,0.29533367667544974,-1.505346957408713,-0.7780137026789862,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,-0.734915972898132,0.08002332506748598,0.037824487815200404,-0.8141089988208398,-0.4183848863364358,0.5532281221987544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,25,-0.4950060220656446,0.40766300943333694,-0.026751186359985423,-0.6902084251388136,1.7555392558081189,1.0699933214554542,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,1.3779421357768804,-1.5956200628935893,1.9024664888674827,1.3561257997629517,1.3932185654506932,-1.0269647063667606,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,27,-0.12127955246545769,0.08751863262678704,0.1372348600134868,-0.9200651354067763,0.6685771847358416,0.3664077865504569,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,28,-0.8859376819175101,-0.1481088596701942,-0.32008963035468624,-0.4357491612453074,-0.4183848863364358,-0.06719298955920115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,29,-0.7351733754093774,1.1178700546478981,0.3652412378328846,-1.1880269637997147,-1.1430262670512874,-0.0683426914601709,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,-0.9937766502674655,-0.8525901831540924,-0.5449624885835563,0.4768987329288715,-0.05606419597900998,-0.6528328714154081,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,31,-0.9403843052586963,0.5082893245922451,-0.2082526506000208,-0.6581900539329605,-0.05606419597900998,-0.599780704066714,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,32,-0.8480848006800937,0.2360683983748126,0.5563396825662362,-1.1480228542353952,-0.05606419597900998,0.5336243859535785,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,33,0.4777497339989545,0.24494416560085883,-0.1162876976680858,-0.9042816423623088,0.6685771847358416,0.09911347049954777,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,34,1.2346572033058472,-1.298602816901825,1.7782190902237887,0.94330432349589,-0.4183848863364358,-0.8065034638539111,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,1.0959522653030715,0.28475006724470336,0.09110850786904302,-0.7641985560790606,0.3062564943784158,-0.5586628765632794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,36,-0.7034055348306084,0.11300620683490935,0.10082901019154328,-0.9341297135743656,1.3932185654506932,0.30727605256674,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,1.824148244771094,1.9564494274415667,-1.7417997454899632,0.8363601976282259,1.3932185654506932,0.17713898173803105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0.22811756708868317,0.21349351088459811,-0.30715709519825446,-0.6152370794254195,-0.7807055766938615,-0.3474037673950356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,39,-0.5261983119773164,0.5629352708898528,0.670183168203013,-1.0448130159169942,-1.505346957408713,-0.5334078775847081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,40,-0.7895716027519726,-1.061579003813151,0.8618205615017491,0.5932691048703189,-0.05606419597900998,1.4421506044341676,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,41,-0.6006225489636883,2.394234860594042,2.0981399366823883,0.589489590332701,-1.505346957408713,0.045283322532657086,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,-0.33741917989877146,-0.8697956148982071,-0.979641900585882,0.7173730809999026,-0.7807055766938615,-0.6785027359236289,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,-0.0970734627724272,0.8174527583302446,-0.6103190931765585,-0.5979281295359381,-1.505346957408713,-0.0782482101178847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,44,-0.2457579784804168,-0.7435086115285153,-0.2670076405268153,0.6516251815124787,-0.4183848863364358,-0.8838041419828908,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,45,-0.4165516567358459,-0.7266641736789217,-0.7573937835678504,0.36646663278331854,-1.1430262670512874,0.7148510167639178,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,46,-0.24730859471548283,0.45948233932916965,0.041399972273460414,-0.6898588099992649,0.3062564943784158,-0.724662161335475,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,47,-0.5289760795316375,-1.038571386427367,-1.6815572970710992,1.1625154988112512,0.3062564943784158,-0.07196233794989751,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
