,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score,Will_vote_only_large_party_int,Most_Important_Issue_Environment,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Healthcare,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military
0,68.83351684,284.6349338,484.82416039999987,250.1788656,13.0,626.4003438999998,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,236.8680923,691.1685749,635.705358,235.9610606,8.0,473.2370794,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,101.2145712,237.1845775,439.600051,290.937915,16.0,609.2005962999998,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,39.89924259,473.1426121,444.38889410000013,84.43367298,14.0,442.4228279,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,589.5334343999998,463.0720694,269.6666275,306.782856,9.0,699.2450405000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,37.86979125,510.51633210000006,386.7799339,138.1606834,10.0,421.5207171,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,121.799766,304.2998273,371.2743806,258.6072085,6.0,390.4151214,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,766.1896598999998,537.8201622,490.1976389,39.23053629,12.0,503.5473969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108.4178934,400.7488259,312.3144852,219.0234778,13.0,446.19818,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,471.3831233,486.5548185,580.1987251,168.2514381,12.0,352.7045894,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,53.2763769,415.8137976,448.3997906,99.08885968,15.0,508.2887773,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,202.399583,472.0881178,460.0179607,61.83474782,10.0,461.9750161,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,26.67133423,306.4924281000001,370.3490687,253.0820981,8.0,401.0252355,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,137.6596543,335.2136508,333.7504344,240.670061,6.0,555.9340624,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,152.13503730000005,464.1591425,425.9167273,87.9803577,5.0,468.8930076,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,608.8516467999998,755.1034449,185.0835241,415.9117684,12.0,593.4475506,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,161.9093017,715.3983766,674.8108352,278.1202279,6.0,519.889002,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,311.7503589,698.6034225999998,621.5734277,236.4897333,7.0,458.72075369999993,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,149.26740159999997,329.2831204,468.8095624,226.3872142,,645.3756319,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,87.58646256,488.86383600000005,414.9136626,90.94897227,6.0,469.8666864,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,295.1519235,464.0662712,390.12741960000005,157.86463840000005,8.0,392.4917339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,30.16589497,496.9615841,475.6040289,34.46465944,7.0,475.8459657,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,19.98907184,319.804284,389.4349065,232.2190724,8.0,596.0758119,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,48.58194083,332.3505535,379.620929,232.3817357,6.0,393.211361,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,73.29032532,419.0385143,438.792969,108.2920111,9.0,537.7636977000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,111.9023647,461.2485677,432.131035,122.1501296,15.0,593.8764307,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,413.3419164,203.1641857,631.1583156,351.0299591,14.0,366.1791204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,172.0513544,420.0041401,449.0486163,96.44095462,12.0,517.4778897,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,48.98430485,389.6480828,401.8688445,150.61106830000003,9.0,470.3955308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,73.24889796,552.7450461,472.5708398,66.46977159,7.0,470.2706909,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31.6282824,298.8892532,378.6698898,252.6895518,10.0,406.8040692,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,40.22145379999999,474.21232740000005,413.4064798,125.7313429,10.0,412.5647166,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,55.07649459,439.141912,492.2854652,70.94417937,10.0,535.6350342000002,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,268.4614546,440.2853834,422.8940222,98.20631785,12.0,488.4538482,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,390.2810828,241.4291286,618.3403624,304.8564123,9.0,390.1178122,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,367.9573713,445.413606,444.2900022,113.8744294,11.0,417.0294787,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,78.36173762,423.2877224,445.2928155,94.86784979,14.0,511.0570951,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,485.1560608,660.7798227000002,255.1984601,292.8948505,14.0,496.9262157,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,228.284684,436.2335732,403.2030264,130.5355774,8.0,439.9689607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,106.8821564,481.2524035,504.0301012,82.48806595,6.0,419.7717822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,64.49383595,271.9650749,523.8003271000001,265.705427,10.0,634.2869736,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,94.90403061,717.1800312,651.3449201000002,265.2826932,6.0,482.6087241,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,137.2650032,296.6726652,333.8262921,279.5862958,8.0,404.0167177,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,175.94717649999996,514.0420723,371.9273913,132.471561,6.0,469.1951043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,152.017313,,407.3450353,272.2324785,9.0,381.7241504,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,124.529115,315.1123905,356.7544660000001,240.3378646,7.0,555.3134521000002,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,151.76775080000004,467.9244888,439.161833,122.1892336,11.0,399.0045158,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,106.43509170000002,274.92916260000004,261.4133579,329.374898,11.0,469.8776531,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,111.6318185,306.6290753,476.0287412,252.4591262,16.0,660.5262428999998,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,126.8334758,340.5657041,404.0337072,196.0915416,8.0,438.1690318,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,281.78358189999994,381.4770907,399.3660087,158.37269569999995,11.0,530.1169468999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,535.7260679,489.7399288,196.0385576,306.72959,9.0,460.1852559,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,158.0956825,340.3384276999999,408.4759254,200.8162337,6.0,419.6340506,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,295.5453753999999,321.4843465,349.5433918,260.36337430000003,5.0,384.7435155,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,73.17686889,440.6023383,363.9269851,171.97489850000005,8.0,413.2162567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,99.00085097,372.5801068,452.2207864,157.1009257,14.0,578.4985247999998,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,169.1057372,377.4102764,451.21301449999993,136.1654939,13.0,533.6545903,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,48.96085325,483.5492516,446.1578373,59.34856541,10.0,481.22111280000007,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,430.1194233,349.96325299999995,475.2356437,182.5850831,13.0,398.9405434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,168.38013669999995,397.6858205,397.0138776,148.62404890000005,13.0,468.1444639,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,48.35012712,432.1782577,414.286783,159.3178698,6.0,384.08779460000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,296.6427055000001,305.4417646,521.3765829,269.46900730000004,11.0,685.2125283,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,354.55504069999995,248.5142523,348.3370774,316.3067686,13.0,617.4872267999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,47.17368455,370.5378209,442.65381,172.1355561,10.0,402.1143098,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,244.3667929,276.7883254,536.260049,262.55821430000003,13.0,633.4112927,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,192.7029612,708.0511162,647.6564956,255.15492090000004,5.0,504.0405504,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
